
更新时间,#genre#

10月20日更新,https://radio.pull.hebtv.com/live/hebyy.m3u8

央视频道,#genre#

CCTV1,http://hxwangcong.x3322.net:26000/udp/239.112.205.59:5140
CCTV2,http://hxwangcong.x3322.net:26000/udp/239.112.205.78:5140
CCTV3,http://hxwangcong.x3322.net:26000/udp/239.112.205.221:5140
CCTV4,http://hxwangcong.x3322.net:26000/udp/239.112.205.202:5140
CCTV5,http://hxwangcong.x3322.net:26000/udp/239.112.205.222:5140
CCTV5+,http://hxwangcong.x3322.net:26000/udp/239.111.205.13:5140
CCTV6,http://hxwangcong.x3322.net:26000/udp/239.112.205.223:5140
CCTV7,http://hxwangcong.x3322.net:26000/udp/239.112.205.83:5140
CCTV8,http://hxwangcong.x3322.net:26000/udp/239.112.205.224:5140
CCTV9,http://hxwangcong.x3322.net:26000/udp/239.112.205.85:5140
CCTV10,http://hxwangcong.x3322.net:26000/udp/239.112.205.86:5140
CCTV11,http://hxwangcong.x3322.net:26000/udp/239.112.205.213:5140
CCTV12,http://hxwangcong.x3322.net:26000/udp/239.112.205.88:5140
CCTV13,http://hxwangcong.x3322.net:26000/udp/239.111.205.53:5140
CCTV14,http://hxwangcong.x3322.net:26000/udp/239.112.205.91:5140
CCTV15,http://hxwangcong.x3322.net:26000/udp/239.112.205.214:5140
CCTV16,http://hxwangcong.x3322.net:26000/udp/239.111.205.133:5140
CCTV17,http://hxwangcong.x3322.net:26000/udp/239.112.205.211:5140


CCTV1,http://222.212.84.190:54123/udp/239.93.0.184:5140
CCTV2,http://222.212.84.190:54123/udp/239.93.1.23:6000
CCTV3,http://222.212.84.190:54123/udp/239.93.1.11:2223
CCTV4,http://222.212.84.190:54123/udp/239.93.1.105:5140
CCTV5,http://222.212.84.190:54123/udp/239.93.42.37:5140
CCTV5+,http://222.212.84.190:54123/udp/239.93.1.36:8004
CCTV6,http://222.212.84.190:54123/udp/239.93.1.13:2226
CCTV7,http://222.212.84.190:54123/udp/239.93.1.67:5140
CCTV8,http://222.212.84.190:54123/udp/239.93.42.39:5140
CCTV9,http://222.212.84.190:54123/udp/239.93.1.24:5140
CCTV10,http://222.212.84.190:54123/udp/239.93.1.28:5140
CCTV11,http://222.212.84.190:54123/udp/239.93.0.102:5140
CCTV12,http://222.212.84.190:54123/udp/239.93.1.30:8124
CCTV13,http://222.212.84.190:54123/udp/239.93.0.66:5140
CCTV14,http://222.212.84.190:54123/udp/239.93.1.29:6000
CCTV15,http://222.212.84.190:54123/udp/239.93.0.103:5140
CCTV17,http://222.212.84.190:54123/udp/239.93.0.92:5140


CCTV1,http://nas.uclive.site:8000/udp/239.93.0.184:5140
CCTV2,http://nas.uclive.site:8000/udp/239.93.1.23:6000
CCTV3,http://nas.uclive.site:8000/udp/239.93.1.11:2223
CCTV4,http://nas.uclive.site:8000/udp/239.93.1.105:5140
CCTV5,http://nas.uclive.site:8000/udp/239.93.42.37:5140
CCTV5+,http://nas.uclive.site:8000/udp/239.93.1.36:8004
CCTV6,http://nas.uclive.site:8000/udp/239.93.1.13:2226
CCTV7,http://nas.uclive.site:8000/udp/239.93.1.67:5140
CCTV8,http://nas.uclive.site:8000/udp/239.93.42.39:5140
CCTV9,http://nas.uclive.site:8000/udp/239.93.1.24:5140
CCTV10,http://nas.uclive.site:8000/udp/239.93.1.28:5140
CCTV11,http://nas.uclive.site:8000/udp/239.93.0.102:5140
CCTV12,http://nas.uclive.site:8000/udp/239.93.1.30:8124
CCTV13,http://nas.uclive.site:8000/udp/239.93.0.66:5140
CCTV14,http://nas.uclive.site:8000/udp/239.93.1.29:6000
CCTV15,http://nas.uclive.site:8000/udp/239.93.0.103:5140
CCTV17,http://nas.uclive.site:8000/udp/239.93.0.92:5140




CCTV1,http://home.yixi.pro:10043/udp/239.93.0.184:5140
CCTV2,http://home.yixi.pro:10043/udp/239.93.1.23:6000
CCTV3,http://home.yixi.pro:10043/udp/239.93.1.11:2223
CCTV4,http://home.yixi.pro:10043/udp/239.93.1.105:5140
CCTV5,http://home.yixi.pro:10043/udp/239.93.42.37:5140
CCTV5+,http://home.yixi.pro:10043/udp/239.93.1.36:8004
CCTV6,http://home.yixi.pro:10043/udp/239.93.1.13:2226
CCTV7,http://home.yixi.pro:10043/udp/239.93.1.67:5140
CCTV8,http://home.yixi.pro:10043/udp/239.93.42.39:5140
CCTV9,http://home.yixi.pro:10043/udp/239.93.1.24:5140
CCTV10,http://home.yixi.pro:10043/udp/239.93.1.28:5140
CCTV11,http://home.yixi.pro:10043/udp/239.93.0.102:5140
CCTV12,http://home.yixi.pro:10043/udp/239.93.1.30:8124
CCTV13,http://home.yixi.pro:10043/udp/239.93.0.66:5140
CCTV14,http://home.yixi.pro:10043/udp/239.93.1.29:6000
CCTV15,http://home.yixi.pro:10043/udp/239.93.0.103:5140
CCTV17,http://home.yixi.pro:10043/udp/239.93.0.92:5140



CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
CCTV2,http://218.17.33.178:53290/tsfile/live/1002_1.m3u8?key=txiptv
CCTV2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://111.227.196.164:9901/tsfile/live/faacts/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://60.29.124.66:6080/hls/14/index.m3u8
CCTV3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://218.17.33.178:53290/tsfile/live/1003_1.m3u8?key=txiptv
CCTV3,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8
CCTV4,http://60.29.124.66:6080/hls/15/index.m3u8
CCTV4,http://218.17.33.178:53290/tsfile/live/1004_1.m3u8?key=txiptv
CCTV4,http://113.26.202.52:1299/tsfile/live/0004_1.m3u8
CCTV4,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8
CCTV5,http://60.29.124.66:6080/hls/16/index.m3u8
CCTV5,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV5,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8?key=txiptv
CCTV5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://61.184.46.85:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8
CCTV5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6,http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8#http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV6,http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8
CCTV6,http://218.17.33.178:53290/tsfile/live/1006_1.m3u8?key=txiptv
CCTV6,http://60.29.124.66:6080/hls/17/index.m3u8
CCTV6,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8
CCTV6,http://112.132.10.54:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://60.29.124.66:6080/hls/18/index.m3u8
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV7,http://218.17.33.178:53290/tsfile/live/1007_1.m3u8?key=txiptv
CCTV7,http://113.15.109.216:59901/tsfile/live/1002_1.m3u8
CCTV7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8
CCTV8,http://zzssw01.55555.io:9901/tsfile/live/0008_1.m3u8
CCTV8,http://218.17.33.178:53290/tsfile/live/1008_1.m3u8?key=txiptv
CCTV8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://112.132.10.54:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://60.29.124.66:6080/hls/19/index.m3u8
CCTV8,https://zby.130519.xyz/PLTV/11/224/3221225736/index.m3u8
CCTV9,http://p.ytelc.com/169l/0/cctv.php?id=cctv9
CCTV9,http://60.29.124.66:6080/hls/20/index.m3u8
CCTV9,http://113.26.202.52:1299/tsfile/live/0009_1.m3u8
CCTV9,http://218.17.33.178:53290/tsfile/live/1009_1.m3u8?key=txiptv
CCTV9,http://112.132.10.54:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://60.29.124.66:6080/hls/21/index.m3u8
CCTV10,http://218.17.33.178:53290/tsfile/live/1010_1.m3u8?key=txiptv
CCTV10,http://113.26.202.52:1299/tsfile/live/0010_1.m3u8
CCTV10,http://112.132.10.54:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8
CCTV11,http://60.29.124.66:6080/hls/22/index.m3u8
CCTV11,http://218.17.33.178:53290/tsfile/live/1011_1.m3u8?key=txiptv
CCTV11,http://113.26.202.52:1299/tsfile/live/0011_1.m3u8
CCTV11,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8
CCTV12,http://218.17.33.178:53290/tsfile/live/1012_1.m3u8?key=txiptv
CCTV12,http://111.227.196.164:9901/tsfile/live/faacts/0012_1.m3u8
CCTV12,https://zby.130519.xyz/PLTV/11/224/3221226103/index.m3u8
CCTV13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV13,http://218.17.33.178:53290/tsfile/live/1013_1.m3u8?key=txiptv
CCTV13,https://event.pull.hebtv.com/jishi/cp1.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV13,http://60.29.124.66:6080/hls/23/index.m3u8
CCTV13,http://113.15.109.216:59901/tsfile/live/0013_1.m3u8
CCTV13,http://58.19.43.46:9901/tsfile/live/1032_1.m3u8
CCTV14,http://218.17.33.178:53290/tsfile/live/1014_1.m3u8?key=txiptv
CCTV14,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV14,http://111.227.196.164:9901/tsfile/live/faacts/0014_1.m3u8
CCTV14,http://113.26.202.52:1299/tsfile/live/0014_1.m3u8
CCTV14,http://171.15.18.199:8180/TV00000000000000000014@HHZT
CCTV14,http://111.227.196.164:9901/tsfile/live/faacts/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://1.24.190.98:10080/hls/14/index.m3u8
CCTV14,https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8
CCTV15,http://218.17.33.178:53290/tsfile/live/1015_1.m3u8?key=txiptv
CCTV15,http://112.132.10.54:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://58.19.43.46:9901/tsfile/live/1034_1.m3u8
CCTV17,http://p.ytelc.com/169l/0/cctv.php?id=cctv17
CCTV17,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
CCTV17,http://218.17.33.178:53290/tsfile/live/1016_1.m3u8?key=txiptv

CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8 
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8 
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8 
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8 
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8 
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8 
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8 
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV10,http://112.27.235.94:8000/hls/11/index.m3u8 
CCTV11,http://112.27.235.94:8000/hls/12/index.m3u8 
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8 
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8 
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8 
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8


CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.156.228.12:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://61.156.228.12:8154/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://61.156.228.12:8154/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://61.156.228.12:8154/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://61.156.228.12:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://61.156.228.12:8154/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://61.156.228.12:8154/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://61.156.228.12:8154/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://61.156.228.12:8154/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://61.156.228.12:8154/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
